DID,DateofSale,VRM,Make,Model,PostCode,Sold Price,Prep Cost,Chassis Margin,Value added Products,Finance Comission,Delivered
10024975,13/07/2021,RE64PNF,Mercedes,A-Class A200 Cdi Amg Sport,SO153DJ,10701,520,1383.3333,0,0,20/07/2021
10028897,13/07/2021,GF16WHP,Nissan,Np300 Navara Dci Tekna 4X4 Shr Dcb,SO190NQ,17599,520,1816.6667,999,764.53,20/07/2021
10028897,14/07/2021,AJ66PZL,Vauxhall,Astra Elite Nav Cdti Biturbo S/S,PO167TJ,9999,520,1055.8333,699,329.12,20/07/2021
10024975,14/07/2021,RJ65GXH,Bmw,3 Series 320D Se Touring,SN67SP,11550,520,1291.6667,0,0,27/07/2021
10028897,14/07/2021,BT13UNH,Mercedes,Cla Cla220 Cdi Sport,SO145SX,11811,520,2175.8333,600,567.6,31/07/2021
10024975,14/07/2021,ML63DHA,Mercedes,A-Class A180 Cdi Blueefficiency Se,BA111LH,11189,520,1440,495,0,15/07/2021
10028897,14/07/2021,GX64LEJ,Toyota,Rav-4 D-4D Icon Awd,SO153DJ,9351,520,1278.3333,0,0,15/07/2021
13281,14/07/2021,RV15GKP,Volkswagen,Passat Se Business Tdi Bluemotion Technology,DT64BL,9499,520,1665.8333,100,0,24/07/2021
10024975,14/07/2021,KX15VGP,Volkswagen,Beetle Design Tdi Dsg,PO226HF,9995,520,1398.3333,1342.72,616.37,15/07/2021
13281,15/07/2021,OU66MPZ,Vauxhall,Corsa Energy Ac Ecoflex,RG401QW,5999,520,1068.3333,0,0,19/07/2021
13281,15/07/2021,RX16VCO,Volkswagen,Golf Match Tsi Bluemotion Technology Dsg,HR48JQ,10313,520,1510.8333,0,0,23/07/2021
10024975,15/07/2021,PN13AVX,Volvo,V40 T3 Se,CR36SA,7995,520,1623.3333,600,464.64,21/07/2021
13281,15/07/2021,VU13LSO,Nissan,Qashqai N-Tec Plus Dci,BS215HB,7881,520,1803.3333,1200,498.6,28/07/2021
10024975,15/07/2021,WN15MXO,Mitsubishi,Outlander Phev Gx 4H,GU342AU,11990,520,1736.6667,1100,691.93,28/07/2021
10028897,15/07/2021,RA66AXP,Bmw,4 Series 420D M Sport Gran Coupe,SO153DJ,15899,520,1625,0,0,20/07/2021
13281,16/07/2021,BG65XPN,Ford,Kuga Zetec Tdci,SO192ET,10495,520,1412.5,0,0,17/07/2021
13281,16/07/2021,GC15ODT,Volkswagen,Golf Match Tsi Bluemotion Technology Dsg,BS35QH,10899,520,1255.8333,100,0,23/07/2021
13281,16/07/2021,LA12AHC,Volkswagen,Tiguan Se Tdi Bluemotion Technology,SO182LT,9299,520,1661.6667,0,0,17/07/2021
10024975,16/07/2021,RO14HXF,Bmw,1 Series 118D M Sport,GU345DG,9999,520,1316.6667,1000,470.14,29/07/2021
13281,16/07/2021,AO15ZXC,Bmw,5 Series 520D M Sport,GL102DS,14450,520,1458.3333,100,0,17/07/2021
13281,16/07/2021,OU14OFM,Mercedes,A-Class A200 Cdi Blueefficiency Sport,CF340DJ,9850,520,1208.3333,1099,347.52,21/07/2021
10028897,16/07/2021,HY66CWE,Alfa Romeo,Giulietta Tb Multiair Speciale Tct,GU151DD,11441,520,1436.6667,250,0,28/07/2021
10028897,16/07/2021,HD58KZC,Mercedes,C-Class C220 Cdi Elegance,RG217AQ,6995,520,2266.6667,0,0,23/07/2021
10028897,16/07/2021,EK14FLF,Mini,Hatch Cooper S,GU323ND,10500,520,1227.58,699,520.14,29/07/2021
13281,17/07/2021,KX15WTL,Volkswagen,Tiguan Match Tdi Bluemotion Tech 4Motion Dsg,SP61NR,11999,520,1693.3333,599,401.16,22/07/2021
13281,17/07/2021,BN14RXZ,Citroen,Ds5 Hdi Dstyle,BS217TS,7600,520,1601,0,0,28/07/2021
10024975,17/07/2021,SM64XUU,Bmw,1 Series 116D M Sport,PO124JH,10707,520,1181.6667,1300,520.08,22/07/2021
10028897,17/07/2021,BP62PJJ,Peugeot,208 Allure,PO168RW,4649,520,1790.8333,475,0,24/07/2021
13281,17/07/2021,LM17OSA,Ford,Fiesta St-2,BH255JU,10699,520,1832.5,0,0,20/07/2021
10024975,17/07/2021,MA17OTW,Ford,Grand C-Max Titanium Tdci,SN119QE,10850,520,1023.8333,150,0,24/07/2021
10028897,17/07/2021,BL12NLG,Nissan,Qashqai Tekna Is Plus 2 Dcis/S,PO155AN,7495,520,1870.8333,800,458.64,21/07/2021
10028897,18/07/2021,RK65RHA,Bmw,1 Series 116D Ed Plus,GU67HE,9289,520,1450.8333,0,0,25/07/2021
13281,18/07/2021,HK64BWP,Mazda,3 D Se-L,B677QQ,7305,520,1680.8333,0,394.9,23/07/2021
10028897,19/07/2021,HK65XMH,Renault,Twingo Dynamique Energy Tce S/S,GU299JX,5950,520,1027.5,0,0,24/07/2021
13281,19/07/2021,AF67PFU,Kia,Ceed Crdi Gt-Line Isg,MK453GW,10999,520,1373.3333,999,745.29,29/07/2021
10028897,19/07/2021,EJ65YJT,Volkswagen,Golf Gt Tdi Bluemotion Technology,SO302EQ,9050,520,1541.6667,199,406.89,22/07/2021
13281,20/07/2021,LM16KEK,Bmw,2 Series 216D Sport Gran Tourer,BH255EG,11986,520,1414.1667,999,446.04,31/07/2021
10028897,20/07/2021,FE13YGT,Volkswagen,Golf Gt Tdi Bluemotion Technology,PO92LP,9557,520,1450,0,0,27/07/2021
10024975,20/07/2021,KV64AVM,Bmw,X1 Xdrive20D Xline,BH192JW,10500,520,1834.1667,0,0,22/07/2021
13281,20/07/2021,PE16AOH,Land Rover,Discovery Sport Td4 Hse Black,BS166AL,24950,520,2057.5,0,0,27/07/2021
10024975,20/07/2021,DA63EFN,Peugeot,2008 E-Hdi Allure Fap,PO75GB,6335,520,1270.8333,0,0,23/07/2021
13281,21/07/2021,AJ12CWN,Mini,Roadster Cooper Sd,IP287PE,6261,520,1717.5,999,354.54,28/07/2021
10028897,21/07/2021,KT15FVB,Vauxhall,Corsa Excite Ac Ecoflex,PO2OHF,6750,520,1152.5,0,0,21/07/2021
10028897,21/07/2021,MT64NKR,Ford,Grand C-Max Titanium Tdci,KT70RA,6151,520,771.6667,0,0,27/07/2021
13281,21/07/2021,EO63EGF,Hyundai,I40 Crdi Active Blue Drive,RG88ND,6150,520,1618.5,0,0,24/07/2021
